Query 1 portabl oper system 
1 Q0 CACM-3127 1 -9.485019291744583 SQLModel_Stemmed 
1 Q0 CACM-2246 2 -10.466777778580113 SQLModel_Stemmed 
1 Q0 CACM-1930 3 -11.055181603157497 SQLModel_Stemmed 
1 Q0 CACM-3196 4 -11.262441606132723 SQLModel_Stemmed 
1 Q0 CACM-2593 5 -12.138864041239614 SQLModel_Stemmed 
1 Q0 CACM-1680 6 -13.42185683255615 SQLModel_Stemmed 
1 Q0 CACM-1591 7 -13.43014922133512 SQLModel_Stemmed 
1 Q0 CACM-3068 8 -13.460424147112006 SQLModel_Stemmed 
1 Q0 CACM-1461 9 -13.503773434359276 SQLModel_Stemmed 
1 Q0 CACM-2740 10 -13.552642014677163 SQLModel_Stemmed 
1 Q0 CACM-2379 11 -13.711927292225651 SQLModel_Stemmed 
1 Q0 CACM-1236 12 -13.772036779839075 SQLModel_Stemmed 
1 Q0 CACM-1750 13 -13.799206215085096 SQLModel_Stemmed 
1 Q0 CACM-1033 14 -13.80977507531304 SQLModel_Stemmed 
1 Q0 CACM-2424 15 -13.812809424385552 SQLModel_Stemmed 
1 Q0 CACM-2735 16 -13.846862849705287 SQLModel_Stemmed 
1 Q0 CACM-2798 17 -13.862615059162417 SQLModel_Stemmed 
1 Q0 CACM-2555 18 -13.876151893045645 SQLModel_Stemmed 
1 Q0 CACM-2629 19 -13.880767403550676 SQLModel_Stemmed 
1 Q0 CACM-1755 20 -13.894767298891427 SQLModel_Stemmed 
1 Q0 CACM-2319 21 -13.913594498429413 SQLModel_Stemmed 
1 Q0 CACM-2357 22 -13.928605296326001 SQLModel_Stemmed 
1 Q0 CACM-1534 23 -13.931948382357458 SQLModel_Stemmed 
1 Q0 CACM-1938 24 -13.947768679707874 SQLModel_Stemmed 
1 Q0 CACM-1334 25 -13.967762937831344 SQLModel_Stemmed 
1 Q0 CACM-3025 26 -13.994106615209528 SQLModel_Stemmed 
1 Q0 CACM-2796 27 -13.999030592333728 SQLModel_Stemmed 
1 Q0 CACM-2920 28 -14.01362186029488 SQLModel_Stemmed 
1 Q0 CACM-2632 29 -14.017979877297043 SQLModel_Stemmed 
1 Q0 CACM-0379 30 -14.021409277565125 SQLModel_Stemmed 
1 Q0 CACM-0103 31 -14.029928878041874 SQLModel_Stemmed 
1 Q0 CACM-1519 32 -14.037432875201906 SQLModel_Stemmed 
1 Q0 CACM-1657 33 -14.039618273868962 SQLModel_Stemmed 
1 Q0 CACM-1045 34 -14.049326431555027 SQLModel_Stemmed 
1 Q0 CACM-1766 35 -14.05406846595577 SQLModel_Stemmed 
1 Q0 CACM-1472 36 -14.06004349391102 SQLModel_Stemmed 
1 Q0 CACM-2599 37 -14.062785441301985 SQLModel_Stemmed 
1 Q0 CACM-2541 38 -14.068639250722379 SQLModel_Stemmed 
1 Q0 CACM-3089 39 -14.07038610032845 SQLModel_Stemmed 
1 Q0 CACM-2153 40 -14.076236124650393 SQLModel_Stemmed 
1 Q0 CACM-2092 41 -14.080491739593626 SQLModel_Stemmed 
1 Q0 CACM-2597 42 -14.085853415694649 SQLModel_Stemmed 
1 Q0 CACM-2372 43 -14.09490067299497 SQLModel_Stemmed 
1 Q0 CACM-1912 44 -14.09780358555569 SQLModel_Stemmed 
1 Q0 CACM-0972 45 -14.104412644640753 SQLModel_Stemmed 
1 Q0 CACM-2482 46 -14.106543505276694 SQLModel_Stemmed 
1 Q0 CACM-1108 47 -14.112706245630044 SQLModel_Stemmed 
1 Q0 CACM-2064 48 -14.115415356228732 SQLModel_Stemmed 
1 Q0 CACM-2219 49 -14.118944139617362 SQLModel_Stemmed 
1 Q0 CACM-3137 50 -14.124907867950943 SQLModel_Stemmed 
1 Q0 CACM-1071 51 -14.149630435872075 SQLModel_Stemmed 
1 Q0 CACM-1747 52 -14.150808061849347 SQLModel_Stemmed 
1 Q0 CACM-3090 53 -14.150877022744075 SQLModel_Stemmed 
1 Q0 CACM-2777 54 -14.153101675779803 SQLModel_Stemmed 
1 Q0 CACM-1752 55 -14.154134821366622 SQLModel_Stemmed 
1 Q0 CACM-1247 56 -14.156133207278446 SQLModel_Stemmed 
